t,BASE_ORE_MIX,SAG_J,SAG_POW,SAG_OF_P80,SAG_J_M,SAG_POW_M,SAG_OF_P80_M
0,0,0.000350405725743741,-0.00751428560488421,9.9475983006414e-14,0.134310848243608,0.0904700100934406,5.10561848804355
0.0499999999999998,0,0.000323738216941649,-0.00694263449508981,9.9475983006414e-14,1.01691044766697,0.198229622494409,-4.68030673909881
0.0999999999999996,0,0.000298464963243816,-0.00640080776497598,9.9475983006414e-14,-0.279070630368558,2.33606887473275,5.95609153876805
0.15,0,0.000274517576841049,-0.00588734379493872,9.9475983006414e-14,0.101650632692227,-0.30373709543187,4.39752864456105
0.2,0,0.00025183083574376,-0.00540085401507895,9.9475983006414e-14,1.18780741280259,0.148347242635282,-1.46663470072016
0.25,0,0.000230341736543238,-0.00494001364495489,9.9475983006414e-14,0.389348015521239,0.99134708594238,-0.886620248279556
0.3,0,0.000209989298941338,-0.0045035396849471,9.9475983006414e-14,-0.345576844468528,-2.39797628076963,4.67719815832763
0.35,0,0.000190714961441074,-0.00409019166500002,9.9475983006414e-14,-0.576161238498781,-0.929962494565416,4.27065703524315
0.4,0,0.000172462787041638,-0.0036987746750583,9.9475983006414e-14,-0.595878138652576,-1.07513700785717,0.10256714497298
0.45,0,0.000155179647443049,-0.00332814551506999,9.9475983006414e-14,-0.159668617837152,-2.96131285874094,-4.52740675128997
0.5,0,0.000138815231942147,-0.00297721776496473,9.9475983006414e-14,-0.764310508679976,-3.64060457449114,-1.63017744314907
0.55,0,0.000123321910741936,-0.00264496335489639,9.9475983006414e-14,-0.0605999330904119,-1.72106989660006,1.98125737073839
0.6,0,0.000108654515841522,-0.00233041047499682,9.9475983006414e-14,0.374282992642271,-1.16864719960063,-0.397432272901298
0.65,0,9.47701156412961e-05,-0.00203263905495987,9.9475983006414e-14,-0.504555674045331,-0.0319005334210942,3.413775511981
0.7,0,8.16278347421928e-05,-0.00175077570497706,9.9475983006414e-14,0.604350827176859,0.195434839769177,4.47875755294081
0.75,0,6.91887381414347e-05,-0.00148398932492455,9.9475983006414e-14,0.532362847904256,2.12784749468847,-1.38077370840101
0.8,0,5.74157655428564e-05,-0.00123148825491626,9.9475983006414e-14,-1.90858444219697,-0.267905861603367,-6.26265119912763
0.85,0,4.62736936412966e-05,-0.000992518725070113,9.9475983006414e-14,0.428436579314308,3.68393109973863,3.10420583259446
0.9,0,3.57290958419298e-05,-0.000766364004903153,9.9475983006414e-14,-0.596269940531698,-0.858090271776064,-4.15693612111897
0.95,0,2.57502874418947e-05,-0.000552343864910654,9.9475983006414e-14,-0.21158252699561,1.69869649095722,1.06408270575166
1,0,1.63072489414162e-05,-0.000349813534967325,9.9475983006414e-14,-0.455893427170999,0.411066171148832,-6.5745357178335
1.05,0,7.3715368422711e-06,-0.000158162384877869,9.9475983006414e-14,0.720345744437772,0.815302839518154,-3.26949192568983
1.1,0,-1.08380905672334e-06,2.31878950671671e-05,9.9475983006414e-14,-0.07121242595775,-1.51245182384946,-1.10141274621027
1.15,0,-9.08435315594147e-06,0.000194785224948646,9.9475983006414e-14,-0.937398349216693,3.43116160831664,2.33820775788827
1.2,0,-1.66543404560571e-05,0.000357149024921455,9.9475983006414e-14,0.247991535714384,1.0516651336377,-5.56775101790029
1.25,0,-2.38167618569207e-05,0.000510771845029012,9.9475983006414e-14,1.30538633987819,-0.590239830516111,4.18943710233191
1.3,0,-3.05934121591633e-05,0.000656120734902288,9.9475983006414e-14,-0.364832743859782,-0.00735167416405602,4.51255070577666
