t,BASE_ORE_MIX,SAG_J,SAG_POW,SAG_OF_P80,SAG_J_M,SAG_POW_M,SAG_OF_P80_M
0,0,0.000350405725743741,-0.00751428560488421,9.9475983006414e-14,-0.365340544526063,-0.482308239649456,-6.51399651509551
0.0499999999999998,0,0.000323738216941649,-0.00694263449508981,9.9475983006414e-14,-1.71695021421385,-4.01641020451211,-0.803034590974406
0.0999999999999996,0,0.000298464963243816,-0.00640080776497598,9.9475983006414e-14,-0.0154284196507675,0.85959371286026,-5.10279551538366
0.15,0,0.000274517576841049,-0.00588734379493872,9.9475983006414e-14,1.25212990981515,-0.611414340822876,-4.9102345262953
0.2,0,0.00025183083574376,-0.00540085401507895,9.9475983006414e-14,-0.0660195944705322,0.887365836128765,2.73072732429971
0.25,0,0.000230341736543238,-0.00494001364495489,9.9475983006414e-14,0.0264889504806369,2.06320508339718,10.8679158468455
0.3,0,0.000209989298941338,-0.0045035396849471,9.9475983006414e-14,-2.37275397029311,-0.743937848947553,9.9981952091366
0.35,0,0.000190714961441074,-0.00409019166500002,9.9475983006414e-14,0.000612934263070741,-0.517512229818067,2.10419517284902
0.4,0,0.000172462787041638,-0.0036987746750583,9.9475983006414e-14,0.708616670942728,-1.87645630272391,7.34707227310741
0.45,0,0.000155179647443049,-0.00332814551506999,9.9475983006414e-14,1.78239066251673,-1.46174612468917,2.88397284979354
0.5,0,0.000138815231942147,-0.00297721776496473,9.9475983006414e-14,0.951633254622148,-0.254104910663273,6.14501746630692
0.55,0,0.000123321910741936,-0.00264496335489639,9.9475983006414e-14,-1.17108914480887,1.75109078925038,4.10154767635429
0.6,0,0.000108654515841522,-0.00233041047499682,9.9475983006414e-14,1.73031097806577,2.59871262651131,-6.56995581364131
0.65,0,9.47701156412961e-05,-0.00203263905495987,9.9475983006414e-14,1.26803505727429,1.18114920648827,-0.827266724688883
0.7,0,8.16278347421928e-05,-0.00175077570497706,9.9475983006414e-14,-1.28144192711922,-0.568021669027303,-0.662812925734073
0.75,0,6.91887381414347e-05,-0.00148398932492455,9.9475983006414e-14,0.549764775439947,1.38076157355067,-10.4834990743395
0.8,0,5.74157655428564e-05,-0.00123148825491626,9.9475983006414e-14,-2.84685921191766,-1.49851046470576,1.71894732462714
0.85,0,4.62736936412966e-05,-0.000992518725070113,9.9475983006414e-14,-2.58703436266812,1.23596194262041,-1.29403574233947
0.9,0,3.57290958419298e-05,-0.000766364004903153,9.9475983006414e-14,-0.715618421183436,0.829244984900015,1.34031713953412
0.95,0,2.57502874418947e-05,-0.000552343864910654,9.9475983006414e-14,-0.260302390954653,-3.84474199759416,-8.94386855558116
1,0,1.63072489414162e-05,-0.000349813534967325,9.9475983006414e-14,1.40924042678991,0.914894199722767,2.49796026461961
1.05,0,7.3715368422711e-06,-0.000158162384877869,9.9475983006414e-14,0.940243021240544,1.59039125876325,-8.93868115525417
1.1,0,-1.08380905672334e-06,2.31878950671671e-05,9.9475983006414e-14,-0.247271178182963,-3.53836451418647,3.38788521103965
1.15,0,-9.08435315594147e-06,0.000194785224948646,9.9475983006414e-14,-0.30962482444189,4.04308139347222,3.34142707822143
1.2,0,-1.66543404560571e-05,0.000357149024921455,9.9475983006414e-14,-1.78094078482827,-0.382734266787793,4.88880215713525
1.25,0,-2.38167618569207e-05,0.000510771845029012,9.9475983006414e-14,-0.692840570173725,-1.06757255730463,-2.8054625397549
1.3,0,-3.05934121591633e-05,0.000656120734902288,9.9475983006414e-14,0.94748073872659,-3.61016867273997,-6.03736851530026
1.35,0,-3.70049430564734e-05,0.000793638474988256,9.9475983006414e-14,0.357124971300738,-3.43981099053531,-8.50689126110849
1.4,0,-4.30709158578679e-05,0.000923744624969913,9.9475983006414e-14,-1.82149769554947,-1.28424690049906,7.3714167630023
1.45,0,-4.88098542561488e-05,0.00104683658491922,9.9475983006414e-14,0.0339066992635821,0.886379132836282,-0.182509938481957
1.5,0,-5.42392973592598e-05,0.00116329061506804,9.9475983006414e-14,-0.28955642441035,0.39402789583005,-0.641058573778935
1.55,0,-5.93758527571708e-05,0.00127346295494135,9.9475983006414e-14,1.05983450759032,-1.2013180200629,-7.06037552852803
1.6,0,-6.42352459578888e-05,0.00137769085495165,9.9475983006414e-14,1.14326485209773,0.706931360370845,5.84456139001394
1.65,0,-6.88323684592262e-05,0.00147629363505075,9.9475983006414e-14,0.191702688094527,-1.20778091910438,0.272484281364896
1.7,0,-7.31813209569054e-05,0.00156957363492438,9.9475983006414e-14,0.219083114786468,-1.52900988419901,8.7644607580847
1.75,0,-7.72954544565607e-05,0.00165781713508295,9.9475983006414e-14,1.38739699217599,0.629161776199226,1.27209961848341
1.8,0,-8.1189634556722e-05,0.00174061543498283,9.9475983006414e-14,1.87702709336866,1.77611970291628,7.17906253836779
1.85,0,-8.48865682563371e-05,0.00181973448502504,9.9475983006414e-14,-0.433917554191893,-0.641453856961789,1.58201130373776
1.9,0,-8.83783497585e-05,0.00189477608500965,9.9475983006414e-14,-0.679083717817093,-1.03357713213063,-4.0669629952291
1.95,0,-9.16789789577876e-05,0.0019657154050492,9.9475983006414e-14,0.863655463386046,2.28377911037433,-2.60250184233841
2,0,-9.47982199583919e-05,0.00203277797504597,9.9475983006414e-14,-0.43829049776555,-2.06359706105081,-5.73919524390206
2.05,0,-9.77459817583792e-05,0.00209615099493021,9.9475983006414e-14,-0.212676065314419,1.57260384700476,2.73282967236239
2.1,0,-0.000100532264657005,0.00215602657499403,9.9475983006414e-14,-1.22871013242261,-0.703529755967793,-3.25229840699541
2.15,0,-0.000103166853556047,0.00221260598505069,9.9475983006414e-14,-0.134661721733917,-0.105538304903348,-7.14155397476632
2.2,0,-0.000105658902558758,0.00226609083506446,9.9475983006414e-14,-0.189117770810096,1.91232112214425,-0.205648599163027
2.25,0,-0.00010801669325744,0.0023166724749899,9.9475983006414e-14,1.14179154148365,1.44699715446131,-1.14791762911862
2.3,0,-0.000110247625158877,0.00236452454510072,9.9475983006414e-14,2.74882533259722,0.979695007405553,-0.807900077571674
2.35,0,-0.000112358378856925,0.0024098011449496,9.9475983006414e-14,0.927672603975363,0.237535855123724,-3.95038374105035
2.4,0,-0.000114355144358314,0.00245263955503106,9.9475983006414e-14,0.331665479493957,-0.322836171505742,2.69436885595162
2.45,0,-0.000116243817458894,0.00249316526492294,9.9475983006414e-14,0.192415400401405,-3.84872896388424,-0.69326083138003
2.5,0,-0.00011803010875866,0.00253149686500365,9.9475983006414e-14,-0.501857501968519,-2.02597776437278,3.61862451474146
2.55,0,-0.000119719563056009,0.00256774911508728,9.9475983006414e-14,-0.688812710697526,4.72950699195985,-4.4455327183732
2.6,0,-0.00012131751845601,0.00260203398511294,9.9475983006414e-14,-0.344655257594471,3.27743422399658,-4.14819370464076
2.65,0,-0.000122829049157502,0.00263445990503897,9.9475983006414e-14,0.916374291334307,0.549987575477871,4.21118955586297
2.7,0,-0.000124258923758447,0.00266513043493433,9.9475983006414e-14,-3.13779612447737,0.0402970638003808,-5.25670392128282
2.75,0,-0.000125611596757835,0.002694143124927,9.9475983006414e-14,-1.11751275598077,4.83181192078609,9.96647475623175
2.8,0,-0.000126891228958925,0.00272158903499076,9.9475983006414e-14,1.20605295805036,0.945517064623573,5.73483409581186
2.85,0,-0.00012810172595934,0.00274755295504292,9.9475983006414e-14,-0.354220421377171,0.325983727937455,-4.69539841293413
2.9,0,-0.000129246777856196,0.00277211423508561,9.9475983006414e-14,1.19247396582984,-3.04699730388825,2.43493971626229
2.95,0,-0.000130329889358904,0.00279534765491007,9.9475983006414e-14,0.644666576136494,0.0668642323093991,1.40395878087492
3,0.2717,-0.000131045375358241,0.00281993910493838,9.9475983006414e-14,1.3919368400469,-1.41367322989481,-4.95904633320427
3.05,0.2717,-0.00901202396315881,-0.183889761384989,-0.269550324831897,-0.343342503604607,0.894202845449854,6.34156713350158
3.1,0.2717,-0.0557067538129594,-0.839312679964905,-0.608615160491908,-0.372730212297295,0.301950486970327,9.39061235831367
