t,BASE_ORE_MIX,SAG_J,SAG_POW,SAG_OF_P80,SAG_J_M,SAG_POW_M,SAG_OF_P80_M
0,0,0.000350405725743741,-0.00751428560488421,9.9475983006414e-14,0.596276458578096,-3.5191084826115,-5.82872093117641
0.0499999999999998,0,0.000323738216941649,-0.00694263449508981,9.9475983006414e-14,-1.51468766800784,-2.01519329148618,-4.45523796850924
0.0999999999999996,0,0.000298464963243816,-0.00640080776497598,9.9475983006414e-14,0.335641000861912,1.37998601634149,16.3465051464761
0.15,0,0.000274517576841049,-0.00588734379493872,9.9475983006414e-14,1.06870060113307,4.52311206374816,-0.948873355010335
0.2,0,0.00025183083574376,-0.00540085401507895,9.9475983006414e-14,-0.0546744048284324,0.508626968038243,0.38128117936381
0.25,0,0.000230341736543238,-0.00494001364495489,9.9475983006414e-14,-0.304842292931227,0.548987701515216,4.07403634755616
0.3,0,0.000209989298941338,-0.0045035396849471,9.9475983006414e-14,-1.21909670548218,-0.282507224279698,1.2942592069039
0.35,0,0.000190714961441074,-0.00409019166500002,9.9475983006414e-14,0.536822929389544,2.80881178572281,-3.19809041605978
0.4,0,0.000172462787041638,-0.0036987746750583,9.9475983006414e-14,-0.794623953058846,2.11317836885314,8.6204869930633
0.45,0,0.000155179647443049,-0.00332814551506999,9.9475983006414e-14,-0.784012454924952,1.72739871868271,2.73527534704726
0.5,0,0.000138815231942147,-0.00297721776496473,9.9475983006414e-14,0.649557564598048,-0.449830057095596,-2.35725529057575
0.55,0,0.000123321910741936,-0.00264496335489639,9.9475983006414e-14,1.95582961320991,-2.80446181649813,-3.10988385437338
0.6,0,0.000108654515841522,-0.00233041047499682,9.9475983006414e-14,-1.29934760603201,0.0569361823827421,-1.70975359844778
0.65,0,9.47701156412961e-05,-0.00203263905495987,9.9475983006414e-14,0.0105893113908948,-2.42089818485942,4.67798786945649
0.7,0,8.16278347421928e-05,-0.00175077570497706,9.9475983006414e-14,0.572410318460594,-2.17621605109525,6.6613771708971
0.75,0,6.91887381414347e-05,-0.00148398932492455,9.9475983006414e-14,0.0598843108523965,0.866715590986587,-7.20272613150722
0.8,0,5.74157655428564e-05,-0.00123148825491626,9.9475983006414e-14,1.0194845173958,2.16265792245258,0.129867775864369
0.85,0,4.62736936412966e-05,-0.000992518725070113,9.9475983006414e-14,-0.874075838536086,2.0674468293696,5.12715193657299
0.9,0,3.57290958419298e-05,-0.000766364004903153,9.9475983006414e-14,1.29597781097068,-2.55302938031377,-3.52068733468487
0.95,0,2.57502874418947e-05,-0.000552343864910654,9.9475983006414e-14,0.312535440054752,2.17088557673515,-10.057979031406
1,0,1.63072489414162e-05,-0.000349813534967325,9.9475983006414e-14,0.0682107863873043,-3.73616211385638,-0.0156618230779202
1.05,0,7.3715368422711e-06,-0.000158162384877869,9.9475983006414e-14,-1.55524985829207,-2.09150900080272,-6.07929823395537
1.1,0,-1.08380905672334e-06,2.31878950671671e-05,9.9475983006414e-14,-0.477549481960306,1.85265192078737,-1.9713502837061
1.15,0,-9.08435315594147e-06,0.000194785224948646,9.9475983006414e-14,0.285161148016769,1.38232524448745,3.49787275448676
1.2,0,-1.66543404560571e-05,0.000357149024921455,9.9475983006414e-14,-0.309944009695599,2.45279465478256,7.81287647127037
1.25,0,-2.38167618569207e-05,0.000510771845029012,9.9475983006414e-14,-0.151745789487503,-0.829977013095231,-4.16420474680844
1.3,0,-3.05934121591633e-05,0.000656120734902288,9.9475983006414e-14,0.223714591687237,-0.495223598533812,1.59183757406981
1.35,0,-3.70049430564734e-05,0.000793638474988256,9.9475983006414e-14,-0.0329293026144306,1.91937086069333,12.6106765101343
1.4,0,-4.30709158578679e-05,0.000923744624969913,9.9475983006414e-14,0.135630882622202,1.05561490493687,-3.63973076446445
1.45,0,-4.88098542561488e-05,0.00104683658491922,9.9475983006414e-14,0.367107818600495,0.56727210285726,0.892506270932131
1.5,0,-5.42392973592598e-05,0.00116329061506804,9.9475983006414e-14,0.17905203904785,1.30107053223924,3.40495178344342
1.55,0,-5.93758527571708e-05,0.00127346295494135,9.9475983006414e-14,0.0253509173938831,-2.32553186425071,7.05114022709981
1.6,0,-6.42352459578888e-05,0.00137769085495165,9.9475983006414e-14,0.96822991929136,-2.48279331305071,-2.59428989512244
1.65,0,-6.88323684592262e-05,0.00147629363505075,9.9475983006414e-14,-0.644894870761465,-4.14444434258826,-0.634376094903971
1.7,0,-7.31813209569054e-05,0.00156957363492438,9.9475983006414e-14,-1.07598893285918,-0.163124303674522,-1.54082705150222
1.75,0,-7.72954544565607e-05,0.00165781713508295,9.9475983006414e-14,-0.603109045225946,1.56543053592941,-5.55965870059505
1.8,0,-8.1189634556722e-05,0.00174061543498283,9.9475983006414e-14,-0.580944701998561,-0.862335526858942,-2.21445156247269
1.85,0,-8.48865682563371e-05,0.00181973448502504,9.9475983006414e-14,1.47794319135624,-1.10145178943685,8.75938189626574
1.9,0,-8.83783497585e-05,0.00189477608500965,9.9475983006414e-14,-1.3499400587456,-0.641807481785918,0.385624954967213
1.95,0,-9.16789789577876e-05,0.0019657154050492,9.9475983006414e-14,0.15827372520214,-0.0510007020823195,0.661145809624458
2,0,-9.47982199583919e-05,0.00203277797504597,9.9475983006414e-14,0.139327810478367,-1.96115793386821,-2.41474446050317
2.05,0,-9.77459817583792e-05,0.00209615099493021,9.9475983006414e-14,0.501614443560264,-1.75302820217985,-1.65453623410404
2.1,0,-0.000100532264657005,0.00215602657499403,9.9475983006414e-14,-1.29846849432107,1.33976997230866,-5.22566007087593
2.15,0,-0.000103166853556047,0.00221260598505069,9.9475983006414e-14,1.55396454480288,4.93425165405733,4.31131109241349
2.2,0,-0.000105658902558758,0.00226609083506446,9.9475983006414e-14,-0.409333769437023,-0.314537920992279,1.36842058695645
2.25,0,-0.00010801669325744,0.0023166724749899,9.9475983006414e-14,0.820845712076299,-0.837531590517528,5.08158492408637
2.3,0,-0.000110247625158877,0.00236452454510072,9.9475983006414e-14,-1.0276421299582,1.55071533991782,-4.27867666106323
2.35,0,-0.000112358378856925,0.0024098011449496,9.9475983006414e-14,2.4260664001123,2.63847024447455,-0.624631350962645
2.4,0,-0.000114355144358314,0.00245263955503106,9.9475983006414e-14,-0.566971584978141,3.10777993934857,-16.7414601077189
2.45,0,-0.000116243817458894,0.00249316526492294,9.9475983006414e-14,-1.66530711380093,0.848351035925589,-0.640265806368348
2.5,0,-0.00011803010875866,0.00253149686500365,9.9475983006414e-14,-0.304293878315097,1.11283931923685,-5.36876634854814
2.55,0,-0.000119719563056009,0.00256774911508728,9.9475983006414e-14,-0.736605573603335,1.86659227476889,-0.548740276226766
2.6,0,-0.00012131751845601,0.00260203398511294,9.9475983006414e-14,1.4173184090982,0.938838109219887,5.39669914705465
2.65,0,-0.000122829049157502,0.00263445990503897,9.9475983006414e-14,-1.32699390849245,0.477659255480603,4.51973917800441
2.7,0,-0.000124258923758447,0.00266513043493433,9.9475983006414e-14,-0.44631246539171,-3.51606022822102,3.21377778651525
2.75,0,-0.000125611596757835,0.002694143124927,9.9475983006414e-14,1.21864513716088,-2.51672835861655,-4.10137638728371
2.8,0,-0.000126891228958925,0.00272158903499076,9.9475983006414e-14,1.21155957497545,0.479025071938167,-4.78064504551142
2.85,0,-0.00012810172595934,0.00274755295504292,9.9475983006414e-14,-0.198178599050983,-1.55856427506114,4.13568944502659
2.9,0,-0.000129246777856196,0.00277211423508561,9.9475983006414e-14,0.531694190112294,-3.42374201139614,-3.3442763904457
2.95,0,-0.000130329889358904,0.00279534765491007,9.9475983006414e-14,-0.515656626086678,-1.2976106390829,-4.21662917758148
3,0.2717,-0.000131045375358241,0.00281993910493838,9.9475983006414e-14,0.215019537326402,-1.401562413791,7.50602955090068
3.05,0.2717,-0.00901202396315881,-0.183889761384989,-0.269550324831897,1.3845625568506,5.65078685743219,4.76379871713191
3.1,0.2717,-0.0557067538129594,-0.839312679964905,-0.608615160491908,-0.0143153484233842,1.47777428284462,-8.09966430861876
3.15,0.2717,-0.146662171999957,-1.04335854074498,-0.840406937375903,-0.157717133580469,-1.38215127011699,-3.44802662146
3.2,0.2717,-0.273559042116759,-0.23763342459506,-1.1957874719659,-0.56182368114511,1.00457449930695,-10.3942770446892
3.25,0.2717,-0.406261710386758,1.52163936146508,-1.8079757002189,-1.0452450318137,4.55834303964753,-4.95151272345061
3.3,0.2717,-0.509054853452358,3.72469716578507,-2.8426582719849,-0.976638629030788,1.37353959184952,0.963523715570389
3.35,0.2717,-0.563246553091556,5.66588014020499,-4.1752953837709,-1.2327972139732,1.41813276049766,-3.22073357581931
3.4,0.2717,-0.576746160779258,6.81344759275498,-5.52949289014791,-0.0597804889227689,7.26816750530861,-5.83924941972873
3.45,0.2717,-0.573074161632956,7.10409935471512,-6.49199410836991,-1.54603734000933,6.11678691568363,-6.30866694008381
3.5,0.2717,-0.573730494793558,6.88961863811505,-7.14167155688391,-0.812692327864802,7.84387551412556,-10.6035869105613
3.55,0.2717,-0.588143693930856,6.62798091571494,-7.5872271863409,-1.02690292880275,7.3220303458595,-4.55319936063658
3.6,0.2717,-0.613370160711856,6.6131884511251,-7.8630562622989,-0.443796939046603,2.45855751566478,-8.23487253270751
3.65,0.2717,-0.639871449224557,6.88622072935505,-8.1027809103999,-1.20856340624228,6.61992763623289,-8.95232143894913
3.7,0.2717,-0.658947793360358,7.30075593331503,-8.3451351222559,-1.68290251939564,7.38103306305788,-13.4957291365614
3.75,0.2717,-0.667618155794159,7.66203416124495,-8.5848796391449,0.527559368759441,5.19428583520244,-13.1560956029742
3.8,0.2717,-0.668722202832356,7.851669456835,-8.82134291526191,0.114865856370887,12.6131941364979,-7.86614647431045
3.85,0.2717,-0.667552785901357,7.87298540817505,-8.9932456096129,0.25048823430166,10.0735762452568,-10.0638358467915
3.9,0.2717,-0.668206447936459,7.81165445119495,-9.12802535112191,-1.03617840809593,7.96805593673889,-15.8859642828073
3.95,0.2717,-0.671857437021057,7.76188679359507,-9.19534870419091,-0.252251171239148,5.93816757153172,-4.54214609673012
4,0.2717,-0.677207795974358,7.77298052362494,-9.26262775104691,-0.704086884543766,9.64970868876958,-2.92082179478135
4.05,0.2717,-0.682116079030656,7.83881474227496,-9.29986847555891,-0.394570193366654,6.70974107180814,-10.3427569914934
4.1,0.2717,-0.685135954799257,7.92096627585511,-9.3371665885179,-1.28751060919436,5.05912562713661,-10.5487365368633
4.15,0.2717,-0.686143900081557,7.98165535754492,-9.40076323016891,-1.35289993542411,5.43857694969847,-8.66239594166164
4.2,0.2717,-0.686000952250357,8.00523080202493,-9.43812059387891,-1.23887667797488,6.30274541137874,-4.85135935705773
4.25,0.2717,-0.685767581252058,7.99992929639507,-9.4717497392699,-1.22904415983098,5.76524919873873,-13.4358413212592
4.3,0.2717,-0.686071322296257,7.98551518845511,-9.4717497392699,-0.846988666689111,5.75406072703231,-17.2597816370025
4.35,0.2717,-0.686929253094256,7.97862363163495,-9.5053677958919,-0.562910527094147,7.11914067588827,-8.69456880155552
4.4,0.2717,-0.687966620496557,7.98484477924512,-9.5053677958919,-0.838601720872756,8.31294474091692,-1.75980429605191
4.45,0.2717,-0.688775012326957,7.99962898874492,-9.5053677958919,-1.09662056399592,8.67348315653612,-10.2013264191692
4.5,0.2717,-0.689164029152959,8.01447874477503,-9.5053677958919,-1.91342386251134,7.7457359324344,-9.30902773834518
4.55,0.2717,-0.689202667964057,8.02318658060494,-9.53897476740291,1.52691134942195,9.20655882915366,-17.3257482871867
4.6,0.2717,-0.689099499228259,8.02463233378512,-9.53897476740291,-1.65493854352215,8.8235801886326,-6.5673676304432
4.65,0.2717,-0.689044536385158,8.02175487209502,-9.53897476740291,-0.753932850029525,9.45010151208771,-15.5328689524414
4.7,0.2717,-0.689114754516059,8.01858985054491,-9.53897476740291,0.00774114804971049,6.73613731164528,-12.3438633090517
4.75,0.2717,-0.689274232722056,8.01770102468504,-9.53897476740291,-0.889162543446915,7.52640729384711,-6.14503825743664
4.8,0.2717,-0.689436430363457,8.01930587795505,-9.53897476740291,-1.56059664316938,8.65926884110877,-6.17195434004836
4.85,0.2717,-0.689532629750456,8.02200156124491,-9.53897476740291,-0.680763538118686,6.31177822000927,-6.38862073889916
4.9,0.2717,-0.689546370331957,8.024137659605,-9.53897476740291,-0.624197941959167,8.53677139638512,4.13025718562724
4.95,0.2717,-0.689506429198758,8.02484858857497,-9.53897476740291,0.905910467764389,9.87787555089039,-10.0931742512444
5,0.2717,-0.689456602201158,8.02428765209493,-9.53897476740291,-1.82731934573545,5.31361362621874,-13.2013335922835
5.05,0.2717,-0.689427228053258,8.02320756384506,-9.53897476740291,-0.862162974322114,2.79992897727379,-4.84127917101179
5.1,0.2717,-0.689423803646459,8.02234730023497,-9.53897476740291,-0.291929569114362,8.62432697157124,-5.42151666726026
5.15,0,-0.686472507550956,8.12516399843503,-9.43063171980491,-0.0291090265732237,10.029139618531,-5.71245032342487
5.2,0,-0.648635529249457,9.06442582783507,-9.06374102046391,-0.360885649859998,11.135015025478,-13.6238721896836
5.25,0,-0.571514211234557,9.81735284618503,-8.6411558849839,-2.8120881051832,8.93607173780265,-11.1441739445265
5.3,0,-0.469796102859657,9.57628701081512,-8.12755678773691,-0.783309260149657,12.4755625461369,-13.3175780158036
5.35,0,-0.369121623659957,8.36217850843491,-7.4846209346879,-0.321484061620421,9.32519686553178,-10.0799267604116
5.4,0,-0.288894910304357,6.713699216225,-6.7407301186259,-0.948323471936025,6.97021058828955,-4.8920871545927
5.45,0,-0.235570160479757,5.197677419515,-5.93217832107591,-0.273430928276458,4.2225867065365,-10.7702237382352
5.5,0,-0.204993898366059,4.128239047335,-5.05522285463491,0.33833950818417,8.07117962116308,-5.35402907725945
5.55,0,-0.187763548866258,3.53539523403492,-4.1506915271849,-0.926958325097178,3.78140471795814,-10.6012897002321
5.6,0,-0.174457997320058,3.26664154086507,-3.4122227321469,-1.12631573874386,-0.529658508068906,-7.70408145770213
5.65,0,-0.159096763426657,3.11756884478496,-2.8801256479439,-0.954290401302082,4.83944585642894,-3.54958297646021
5.7,0,-0.140096085487258,2.93200130016498,-2.47372001064591,-0.685445281782464,2.51205340977026,-1.74005039338073
5.75,0,-0.119106606684959,2.64633076161499,-2.1895686758659,-1.15498017218717,1.57629160001352,1.51366598311422
5.8,0,-0.0989681717218573,2.28008374401497,-1.9475195514139,0.696961920244789,-0.00973412602320423,1.94501167920703
5.85,0,-0.0819854807838567,1.89544483098507,-1.70185845579691,-0.46546877908176,3.46502035739468,6.53852563869059
5.9,0,-0.0691024622612559,1.5541875450549,-1.4605933636289,-2.72949967174281,1.81292196148638,-4.94137079178003
5.95,0,-0.0599341616709594,1.29121657938504,-1.25685458125891,0.419068833899058,1.16884021599594,0.227535171588926
6,0,-0.0533087642030594,1.10884552053494,-1.0531829452069,-0.223394470900121,-1.86157151237694,1.82708381362416
6.05,0,-0.0479259181496587,0.986245006585023,-0.891301001922898,0.478825237615922,1.55924040646755,2.9049879052908
6.1,0,-0.0428427141768566,0.894589895385025,-0.766087053549896,-1.64337212924155,2.34428819562663,-7.45044339705913
6.15,0,-0.037661928597057,0.810037593154902,-0.646042366302908,-1.29000455283972,-2.22811991079152,4.17382757071672
6.2,0,-0.0324516696942574,0.720358722275023,-0.567881801822907,0.213397529293065,-1.57026695668083,-1.18905662014251
6.25,0,-0.0275199071126586,0.624878075335118,-0.484359027727905,-1.49416263332886,2.73356130400725,-11.0480332687129
6.3,0,-0.0231807786301594,0.530074834505058,-0.442574045719908,-1.49233812471841,-2.46048329983023,5.09531631667694
6.35,0,-0.0196046499605593,0.444033305715038,-0.364575590948903,0.0926094703664653,0.574127034608637,3.68964993862637
6.4,0,-0.0167788345625581,0.372280566205063,-0.322790822012905,-1.44923202738655,-1.64637966428336,-0.56959404467392
6.45,0,-0.0145544086350569,0.316113808494947,-0.280990332336899,-0.493012275853911,1.1668769994028,-1.50925162347569
6.5,0,-0.0127310413257575,0.273175317134928,-0.239174116007902,1.01254484171049,0.243802314785853,-6.11741299215718
6.55,0,-0.011134408650058,0.239264837395012,-0.203138008087905,0.489133339695087,3.86028279963375,10.2560025526802
6.6,0,-0.00965927081465878,0.210267529924977,-0.161337797129903,0.0796751046347985,1.04993175403092,-5.73431759232383
6.65,0,-0.00827346463965739,0.183423687974937,-0.125399657703909,-0.000334645965619274,2.70857502465242,4.73913203500373
6.7,0,-0.00699446580505736,0.157682281615052,-0.1195218766469,-2.01338489832792,-1.95203110877151,0.935957354280106
6.75,0,-0.00585658254615851,0.133315115084997,-0.0836154602929042,1.16116677577405,-0.364279231285536,0.831693492648583
6.8,0,-0.00488420766895814,0.111187542114976,-0.0836154602929042,0.189723100385436,-1.14570447444589,5.08444710803974
6.85,0,-0.00407898477955726,0.0920761445549942,-0.0776902407349098,0.492455450546299,3.39856051694892,2.375843839694
6.9,0,-0.00342082000865673,0.0762723612549507,-0.0418155763538977,0.0119336849628056,0.68567055022254,-2.03058623856415
6.95,0,-0.00287750436695688,0.0635213026951078,-0.0418155763538977,1.61638474356523,3.41104761463203,3.43206862978407
7,0.2717,-0.00456818342245668,0.00633006642510736,-0.155494479719906,0.314139598230238,-1.13607640868872,2.52577117285652
7.05,0.2717,-0.0376059700266573,-0.58612899915488,-0.535337284041901,0.321334527329128,0.411875748864304,8.68630858827784
7.1,0.2717,-0.113310492436558,-1.03927074906505,-0.803395750854904,-1.09151089357596,-4.23746587567689,1.16250383150455
7.15,0.2717,-0.230365526338758,-0.596027972685079,-1.0786497093559,-0.568799413889533,1.85996976262777,-6.90770000161113
7.2,0.2717,-0.364862161046258,0.878959289244904,-1.56269547138891,-0.0384271634863111,0.815574301768493,-3.14542747421268
7.25,0.2717,-0.480446420285457,3.00245130981511,-2.4691733050219,-1.62768881747802,3.44309436826165,-1.76371807045476
7.3,0.2717,-0.550801265048957,5.09867946424492,-3.71691275579191,-0.729441890937405,2.58411762671471,-13.9285282124296
7.35,0.2717,-0.575401893256856,6.53623886421497,-5.1337968626639,-1.84196327272818,8.4129614334629,-2.33096960723084
7.4,0.2717,-0.574579851069558,7.08409789540497,-6.1836077648329,-0.595660513704878,4.3167330821052,1.17963558662856
7.45,0.2717,-0.572068418341058,6.98392906488493,-6.9699110315219,0.819856917019479,3.24381958058916,-14.1993648877429
7.5,0.2717,-0.581698725539759,6.694187952025,-7.4494290121479,-1.47365385314425,7.1895688413822,-11.764434935555
