t,BASE_ORE_MIX,SAG_J,SAG_POW,SAG_OF_P80,SAG_J_M,SAG_POW_M,SAG_OF_P80_M
0,0,0.000350405725743741,-0.00751428560488421,9.9475983006414e-14,1.06144435366445,-1.28193113791576,1.36754537740791
0.0499999999999998,0,0.000323738216941649,-0.00694263449508981,9.9475983006414e-14,-1.13501703387656,-1.87507323823115,-2.11228421355545
0.0999999999999996,0,0.000298464963243816,-0.00640080776497598,9.9475983006414e-14,1.70547112291832,-4.73850226139257,-9.46785924462576
0.15,0,0.000274517576841049,-0.00588734379493872,9.9475983006414e-14,0.987801787675362,2.20300761682893,-5.42511952295487
0.2,0,0.00025183083574376,-0.00540085401507895,9.9475983006414e-14,2.04104735710259,-1.90327216818127,-1.5346435531731
0.25,0,0.000230341736543238,-0.00494001364495489,9.9475983006414e-14,-0.0899909471391389,1.13244708947855,-2.33975689658438
0.3,0,0.000209989298941338,-0.0045035396849471,9.9475983006414e-14,0.477135934620257,-0.820383307497877,4.55854261809159
0.35,0,0.000190714961441074,-0.00409019166500002,9.9475983006414e-14,1.28149367334929,-1.82753243568959,0.783900642188428
0.4,0,0.000172462787041638,-0.0036987746750583,9.9475983006414e-14,0.481078737702916,-0.465350603806428,1.12133142052083
0.45,0,0.000155179647443049,-0.00332814551506999,9.9475983006414e-14,0.661712575350968,-2.03625769149039,-4.92673996878332
0.5,0,0.000138815231942147,-0.00297721776496473,9.9475983006414e-14,-1.60995881773292,-0.886125241786885,2.53503142976912
0.55,0,0.000123321910741936,-0.00264496335489639,9.9475983006414e-14,-0.920504541947299,0.367541148708369,-2.2889242916777
0.6,0,0.000108654515841522,-0.00233041047499682,9.9475983006414e-14,-1.63347556286112,-1.08204245312322,2.11314994224095
0.65,0,9.47701156412961e-05,-0.00203263905495987,9.9475983006414e-14,1.16203519545033,0.930654460612459,1.84078930495639
0.7,0,8.16278347421928e-05,-0.00175077570497706,9.9475983006414e-14,-0.291095476899237,-0.402905877382182,-3.86294864416053
0.75,0,6.91887381414347e-05,-0.00148398932492455,9.9475983006414e-14,0.620117306972883,-4.3260264666485,-0.85339839570976
0.8,0,5.74157655428564e-05,-0.00123148825491626,9.9475983006414e-14,-0.675714393724146,1.3904790872823,-4.77944643448443
0.85,0,4.62736936412966e-05,-0.000992518725070113,9.9475983006414e-14,-1.01462867356329,-2.61908362052372,5.06925613709507
0.9,0,3.57290958419298e-05,-0.000766364004903153,9.9475983006414e-14,-1.61438469479532,-1.20624292734033,-4.46486114103621
0.95,0,2.57502874418947e-05,-0.000552343864910654,9.9475983006414e-14,-0.173310076911878,-1.95439605839215,-3.04524834448183
1,0,1.63072489414162e-05,-0.000349813534967325,9.9475983006414e-14,1.86985301756619,2.17488403261837,-0.426559474804151
1.05,0,7.3715368422711e-06,-0.000158162384877869,9.9475983006414e-14,-1.44253099002752,0.350108242328133,0.00852421724617614
1.1,0,-1.08380905672334e-06,2.31878950671671e-05,9.9475983006414e-14,-0.480067474649264,0.745209540538553,0.453606365104221
1.15,0,-9.08435315594147e-06,0.000194785224948646,9.9475983006414e-14,1.34262200033237,3.85310243007848,-7.6312549013434
1.2,0,-1.66543404560571e-05,0.000357149024921455,9.9475983006414e-14,-1.54981231364373,-0.323614457979602,-6.39451741847806
1.25,0,-2.38167618569207e-05,0.000510771845029012,9.9475983006414e-14,-1.54872126036526,1.90258797483034,1.70827641579857
1.3,0,-3.05934121591633e-05,0.000656120734902288,9.9475983006414e-14,0.402726570402052,1.68805336368337,0.755045544166165
1.35,0,-3.70049430564734e-05,0.000793638474988256,9.9475983006414e-14,0.548613123513562,1.86674444090113,4.36538528601061
1.4,0,-4.30709158578679e-05,0.000923744624969913,9.9475983006414e-14,-1.98779341411283,-0.453233307253868,3.97687685336317
1.45,0,-4.88098542561488e-05,0.00104683658491922,9.9475983006414e-14,0.879913026209351,-0.341037580654302,-1.32922875789893
1.5,0,-5.42392973592598e-05,0.00116329061506804,9.9475983006414e-14,0.721846079706488,-1.43330640239105,3.0374321275078
1.55,0,-5.93758527571708e-05,0.00127346295494135,9.9475983006414e-14,-1.35176392330483,-0.9268672346725,0.114463598979086
