t,BASE_ORE_MIX,SAG_J,SAG_POW,SAG_OF_P80,SAG_J_M,SAG_POW_M,SAG_OF_P80_M
0,0,0.000350405725743741,-0.00751428560488421,9.9475983006414e-14,2.02489085123899,-2.64967610844838,-6.74222364173885
0.0499999999999998,0,0.000323738216941649,-0.00694263449508981,9.9475983006414e-14,-0.510534008659473,0.691831100921263,6.98924163282366
0.0999999999999996,0,0.000298464963243816,-0.00640080776497598,9.9475983006414e-14,0.2474305012298,-3.65741115013066,1.71822256435844
0.15,0,0.000274517576841049,-0.00588734379493872,9.9475983006414e-14,-1.37238400070622,-0.772093606191447,1.95512584361013
0.2,0,0.00025183083574376,-0.00540085401507895,9.9475983006414e-14,-2.77344283705817,3.29823608503216,-9.30589944703047
0.25,0,0.000230341736543238,-0.00494001364495489,9.9475983006414e-14,-0.0235434768322733,-2.28157150469724,-2.34397410373344
0.3,0,0.000209989298941338,-0.0045035396849471,9.9475983006414e-14,-0.0648580190147321,-0.443116723330604,1.49975016127311
0.35,0,0.000190714961441074,-0.00409019166500002,9.9475983006414e-14,-0.426341344954992,-0.12760812287388,8.58220905301181
0.4,0,0.000172462787041638,-0.0036987746750583,9.9475983006414e-14,-0.664679707765881,-0.883113142855791,4.01062625996811
0.45,0,0.000155179647443049,-0.00332814551506999,9.9475983006414e-14,0.379550854635919,-1.51698871817825,5.5144430593634
0.5,0,0.000138815231942147,-0.00297721776496473,9.9475983006414e-14,-0.421149809740658,-0.836812768429354,-1.74677786167554
0.55,0,0.000123321910741936,-0.00264496335489639,9.9475983006414e-14,0.467499561266962,-3.7146591289445,-4.09953282821591
0.6,0,0.000108654515841522,-0.00233041047499682,9.9475983006414e-14,-0.129235455283911,-0.0787473567154393,-1.19402210088765
0.65,0,9.47701156412961e-05,-0.00203263905495987,9.9475983006414e-14,-0.0261488903820819,5.64243922955779,0.217886750328219
0.7,0,8.16278347421928e-05,-0.00175077570497706,9.9475983006414e-14,0.404812363786789,3.64358192496547,3.78399654373531
0.75,0,6.91887381414347e-05,-0.00148398932492455,9.9475983006414e-14,2.37067222386329,0.411427965058692,1.20187177574674
0.8,0,5.74157655428564e-05,-0.00123148825491626,9.9475983006414e-14,0.787983956069315,1.26943871057529,1.07588433834458
0.85,0,4.62736936412966e-05,-0.000992518725070113,9.9475983006414e-14,-0.492937850541498,0.439527043429052,7.49391533150316
0.9,0,3.57290958419298e-05,-0.000766364004903153,9.9475983006414e-14,1.46220738197583,-2.50881700137757,-7.98744780831603
0.95,0,2.57502874418947e-05,-0.000552343864910654,9.9475983006414e-14,0.782226526087889,0.717970150936026,4.03682039326725
1,0,1.63072489414162e-05,-0.000349813534967325,9.9475983006414e-14,-1.82747928951324,-0.874720680294331,7.63779983620367
1.05,0,7.3715368422711e-06,-0.000158162384877869,9.9475983006414e-14,0.217612591291275,-0.693473316362315,8.51059133582979
1.1,0,-1.08380905672334e-06,2.31878950671671e-05,9.9475983006414e-14,0.613423587529329,0.241308669365026,-9.33329950822258
1.15,0,-9.08435315594147e-06,0.000194785224948646,9.9475983006414e-14,0.65743917700398,1.57022086361712,-3.13875694194262
1.2,0,-1.66543404560571e-05,0.000357149024921455,9.9475983006414e-14,0.434441839542075,-1.1074863486424,-3.5308913953955
1.25,0,-2.38167618569207e-05,0.000510771845029012,9.9475983006414e-14,-0.0313148225227806,3.04973471401354,-3.10560363026197
1.3,0,-3.05934121591633e-05,0.000656120734902288,9.9475983006414e-14,-0.703533566989908,-2.65197188216871,1.45943350641036
1.35,0,-3.70049430564734e-05,0.000793638474988256,9.9475983006414e-14,0.793224559886909,1.1257046993785,6.03761151570582
1.4,0,-4.30709158578679e-05,0.000923744624969913,9.9475983006414e-14,-0.368653307286333,-2.10887241499154,5.21878318820517
1.45,0,-4.88098542561488e-05,0.00104683658491922,9.9475983006414e-14,-1.43379749897462,-1.07750845670648,-2.13811672728754
1.5,0,-5.42392973592598e-05,0.00116329061506804,9.9475983006414e-14,0.469515318104669,-0.0790222300897767,5.26583562730315
1.55,0,-5.93758527571708e-05,0.00127346295494135,9.9475983006414e-14,1.43051377536856,2.0256098196337,-1.32354662911436
1.6,0,-6.42352459578888e-05,0.00137769085495165,9.9475983006414e-14,-1.20657008069515,3.24944664590748,3.1603535010692
1.65,0,-6.88323684592262e-05,0.00147629363505075,9.9475983006414e-14,0.519306760055745,-2.0524412166742,-4.40018895807056
1.7,0,-7.31813209569054e-05,0.00156957363492438,9.9475983006414e-14,0.220180681934401,2.6402543625411,2.14742165739915
1.75,0,-7.72954544565607e-05,0.00165781713508295,9.9475983006414e-14,0.768636760007652,-1.29072202152156,-1.31533355073563
1.8,0,-8.1189634556722e-05,0.00174061543498283,9.9475983006414e-14,1.95418269410557,0.518710867996333,0.758245330403724
1.85,0,-8.48865682563371e-05,0.00181973448502504,9.9475983006414e-14,-0.827413013982433,0.230837283648043,-8.54656689033506
1.9,0,-8.83783497585e-05,0.00189477608500965,9.9475983006414e-14,-0.76176262611645,-2.04389098604111,-1.43251042153209
1.95,0,-9.16789789577876e-05,0.0019657154050492,9.9475983006414e-14,-0.561750094819178,2.48257012134491,-9.1928820498437
2,0,-9.47982199583919e-05,0.00203277797504597,9.9475983006414e-14,0.495926302619939,1.01321296410811,6.31122497605371
2.05,0,-9.77459817583792e-05,0.00209615099493021,9.9475983006414e-14,0.49844281597596,2.77821059098824,-8.89595715552282
2.1,0,-0.000100532264657005,0.00215602657499403,9.9475983006414e-14,-0.532093916162868,-2.2424562138774,-4.56025305897049
2.15,0,-0.000103166853556047,0.00221260598505069,9.9475983006414e-14,1.11091904937491,-0.544838523938779,-5.73871913279419
2.2,0,-0.000105658902558758,0.00226609083506446,9.9475983006414e-14,-0.431424495059584,0.729343195890124,-1.96246615362701
2.25,0,-0.00010801669325744,0.0023166724749899,9.9475983006414e-14,-0.670467800186373,1.8616703610503,-0.75817770479081
2.3,0,-0.000110247625158877,0.00236452454510072,9.9475983006414e-14,0.287963363040561,0.052384818698556,-4.84174703127387
2.35,0,-0.000112358378856925,0.0024098011449496,9.9475983006414e-14,-1.73012121661438,2.79113163378452,2.48269475909217
2.4,0,-0.000114355144358314,0.00245263955503106,9.9475983006414e-14,-0.296928629447816,-0.883914642829723,2.22954928731603
2.45,0,-0.000116243817458894,0.00249316526492294,9.9475983006414e-14,1.09817810495939,1.18244476176505,4.85070484479687
2.5,0,-0.00011803010875866,0.00253149686500365,9.9475983006414e-14,0.637336694499339,0.262747703210607,2.96341734407225
2.55,0,-0.000119719563056009,0.00256774911508728,9.9475983006414e-14,-0.858761258221303,0.719546869221404,6.53426569764324
2.6,0,-0.00012131751845601,0.00260203398511294,9.9475983006414e-14,-0.722231018375172,0.455620360004104,-4.07659338076009
2.65,0,-0.000122829049157502,0.00263445990503897,9.9475983006414e-14,-0.293046576620739,-1.10513741956515,-0.304417789207591
2.7,0,-0.000124258923758447,0.00266513043493433,9.9475983006414e-14,-0.745505672499867,-2.63791764574148,-6.80293496862055
2.75,0,-0.000125611596757835,0.002694143124927,9.9475983006414e-14,0.34612070881424,-0.492954913496988,-0.779325939580517
2.8,0,-0.000126891228958925,0.00272158903499076,9.9475983006414e-14,-1.01468878773796,1.43276574959032,3.23278580677226
2.85,0,-0.00012810172595934,0.00274755295504292,9.9475983006414e-14,-0.72435129827031,-0.0889465401178313,-5.2466358285446
2.9,0,-0.000129246777856196,0.00277211423508561,9.9475983006414e-14,0.959637433109584,-3.13637583751256,-0.641296700709574
2.95,0,-0.000130329889358904,0.00279534765491007,9.9475983006414e-14,0.206873933656826,-1.94466264350194,8.60538741713192
3,0.2717,-0.000131045375358241,0.00281993910493838,9.9475983006414e-14,0.967811191078351,0.616079954835641,4.98868880529766
3.05,0.2717,-0.00901202396315881,-0.183889761384989,-0.269550324831897,1.58971605480765,-1.08640357649642,-3.03672172111547
3.1,0.2717,-0.0557067538129594,-0.839312679964905,-0.608615160491908,1.42190058159948,2.02505793372507,-4.88639506044059
3.15,0.2717,-0.146662171999957,-1.04335854074498,-0.840406937375903,-1.27352943531298,-2.49725590374874,-6.21306123142617
3.2,0.2717,-0.273559042116759,-0.23763342459506,-1.1957874719659,-0.111676363906032,-2.28522820363719,-14.1480190687149
